id_j;edad;altura;pie_habil;nacionalidad;nombre;valor_mercado_en_miles;id_club;posicion
1349;29;1,84;derecho;Colombia;Víctor Mejía;300;112;Pivote
1350;34;1,87;derecho;Uruguay  ;Michel Acosta;275;112;Pivote
1351;30;1,74;izquierdo;Uruguay;Bruno Téliz;150;112;Mediocentro
1352;32;1,68;izquierdo;Colombia;Sherman Cárdenas;280;112;Mediocentro ofensivo
1353;32;1,7;derecho;Venezuela;Diomar Díaz;950;112;Mediocentro ofensivo
1354;24;1,75;derecho;Colombia;Mateo Cano;800;112;Mediocentro ofensivo
1355;21;1,64;derecho;Colombia;Juan Marcelin;800;112;Extremo izquierdo
1356;23;1,85;derecho;Colombia;Johan Caballero;800;112;Extremo derecho
1357;26;1,85;derecho;Colombia;Rodin Quiñones;150;112;Extremo derecho
1358;24;1,7;derecho;Colombia;Kevin Pérez;990;112;Extremo derecho
1359;20;1,85;derecho;Colombia;Johan Cristancho;600;112;Extremo derecho
1360;34;1,77;derecho;Colombia;Iván Rivas;150;112;Delantero centro
1361;36;1,78;derecho;Colombia;Dayro Moreno;280;112;Delantero centro
1362;31;1,81;derecho;Uruguay;Sebastián Gularte;950;112;Delantero centro
1363;25;1,6;derecho;Colombia;Yeison Moreno;800;112;Delantero centro
1364;32;1,84;derecho;Colombia;Christian Vargas;800;113;Portero
1365;29;1,83;derecho;Colombia;Juan Valencia;800;113;Portero
1366;23;1,88;derecho;Colombia;Freddy Mosquera;150;113;Portero
1367;24;1,85;derecho;Colombia;Jeison Quiñónes;990;113;Defenza central
1368;24;1,85;derecho;Colombia;Jean Carlos Pestaña;600;113;Defenza central
1369;33;1,86;derecho;Colombia;Oswaldo Henríquez;700;113;Defenza central
1370;21;1,6;derecho;Colombia;Sebastián Rodríguez;600;113;Defenza central
1371;19;1,6;derecho;Colombia;Nicolás Lara;100;113;Defenza central
1372;29;1,71;izquierdo;Colombia;Mauricio Duarte;200;113;Lateral izquierdo
1373;24;1,74;izquierdo;Colombia;Alejandro Artunduaga;900;113;Lateral izquierdo
1374;20;1,78;izquierdo;Colombia;Yoni Mosquera;250;113;Lateral izquierdo
1375;24;1,72;derecho;Colombia;Mateo Puerta;300;113;Lateral derecho
1376;22;1,6;derecho;Colombia;José Ampudia;275;113;Lateral derecho
1377;20;1,6;derecho;Colombia;Juan Esteban Avalo;150;113;Medio campo
1378;26;1,85;derecho;Colombia;Felipe Jaramillo;280;113;Pivote
1379;29;1,8;derecho;Venezuela;Óscar Hernández;950;113;Pivote
1380;25;1,75;derecho;Colombia;Jesús Rivas;800;113;Pivote
